Objektbez,Jahr,namident,sprcode,Geschlecht,gebjahr,todjahr,ausstellungen,events,performances,literatur,rating,NATIONALITAET
Ölmalerei,,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,1924,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
"peinture à l'huile",1907,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,1910,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,1943,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
Ölmalerei,1907,"Barraud, Maurice",FRA,M,1889,1954,71,0,0,109,****,CH
"peinture à l'huile",1860,"Meuron, Albert de",FRA,M,1823,1897,7,0,0,15,***,CH
"peinture à l'huile",1848,"Meuron, Albert de",FRA,M,1823,1897,7,0,0,15,***,CH
Aquarell,1768,"Grimm, Samuel Hieronymus",DEU,M,1733,1794,4,0,0,14,***,CH
Skulptur,2012,"Zoderer, Beat",DEU,M,1955,,127,0,0,112,****,CH
Zeichnung,1981,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Ölmalerei,1983,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Mischtechnik,1969,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Acrylmalerei,1975,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Mischtechnik,1974,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Acrylmalerei,1976,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Tuschezeichnung,1968,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Mischtechnik,1983,"Schärer, Hans",DEU,M,1927,1997,84,0,0,76,***,CH
Tuschezeichnung,1944,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Acrylmalerei,1979,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Mischtechnik,1933,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Zeichnung,1931,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Mischtechnik,1931,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Ölmalerei,1957,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Acrylmalerei,1979,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Skulptur,1979,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Ölmalerei,1948,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Relief,1961,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Ölmalerei,1965,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Ölmalerei,1952,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Ölmalerei,1952,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Mischtechnik,1972,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Skulptur,1979,"Fischli, Hans",DEU,M,1909,1989,40,0,0,51,****,CH
Ölmalerei,1958,"Graeser, Camille Louis",DEU,M,1892,1980,125,0,0,126,*****,CH
Ölmalerei,1950,"Graeser, Camille Louis",DEU,M,1892,1980,125,0,0,126,*****,CH
Ölmalerei,1943,"Graeser, Camille Louis",DEU,M,1892,1980,125,0,0,126,*****,CH
Ölmalerei,1957,"Graeser, Camille Louis",DEU,M,1892,1980,125,0,0,126,*****,CH
Ölmalerei,1939,"Graeser, Camille Louis",DEU,M,1892,1980,125,0,0,126,*****,CH
Ölmalerei,1943,"Graeser, Camille Louis",DEU,M,1892,1980,125,0,0,126,*****,CH
Ölmalerei,1810,"Oeri, Hans Jakob",DEU,M,1782,1868,5,0,0,15,***,CH
Ölmalerei,1864,"Bütler, Joseph Antonius Laurentius",DEU,M,1819,1874,2,0,0,11,***,CH
Tuschezeichnung,1990,"Rütimann, Christoph",DEU,M,1955,,142,1,18,130,****,CH
Acrylmalerei,1979,"Corradini, Bignia",DEU,F,1951,,48,0,0,27,***,CH
Acrylmalerei,1979,"Corradini, Bignia",DEU,F,1951,,48,0,0,27,***,CH
Mischtechnik,1976,"Corradini, Bignia",DEU,F,1951,,48,0,0,27,***,CH
"pittura ad olio",1975,"Bolzani, Giuseppe",ITA,M,1921,2002,30,0,0,32,***,CH
"pittura ad olio",1959,"Bolzani, Giuseppe",ITA,M,1921,2002,30,0,0,32,***,CH
Mischtechnik,1975,"Schwarz, Martin",DEU,M,1946,,77,0,0,76,***,CH
Ölmalerei,,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
"peinture à l'huile",1860,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
"peinture à l'huile",1835,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
Ölmalerei,1835,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
Ölmalerei,1843,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
"peinture à l'huile",,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
dessin,1834,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
Ölmalerei,1837,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
Ölmalerei,,"Menn, Barthélemy",FRA,M,1815,1893,43,0,0,95,****,CH
