HAUPTNR,JAHR,URHAUPTNR,SPRCODE,GESCHLECHT,AUSSTELLUNGEN,EVENTS,PER2OR1ANCES,LITERATUR,RATING,PLZ
9584911,1872,4022827,1,1,65,0,0,107,4,4532
9587485,1867,4022827,1,1,65,0,0,107,4,6440
9587485,1867,4022827,1,1,65,0,0,107,4,4532
9675900,1827,4022826,1,1,10,0,0,22,3,8000
9602584,1908,4022823,2,1,40,0,0,75,4,1000
9602584,1908,4022823,2,1,40,0,0,75,4,1180
9602584,1908,4022823,2,1,40,0,0,75,4,9434
13819031,0,4022823,2,1,40,0,0,75,4,1000
13819031,0,4022823,2,1,40,0,0,75,4,1180
13819031,0,4022823,2,1,40,0,0,75,4,9434
9605588,1956,4026515,1,2,22,0,0,21,4,8000
9605588,1956,4026515,1,2,22,0,0,21,4,6000
9669429,1789,4022917,1,1,14,0,0,33,3,8000
9675631,0,4022823,2,1,40,0,0,75,4,1000
9675631,0,4022823,2,1,40,0,0,75,4,1180
9675631,0,4022823,2,1,40,0,0,75,4,9434
9659784,1803,4022934,2,1,15,0,0,42,4,1426
9659784,1803,4022934,2,1,15,0,0,42,4,2000
12610106,1972,4001125,1,1,62,0,0,53,3,9000
12610106,1972,4001125,1,1,62,0,0,53,3,9050
12610106,1972,4001125,1,1,62,0,0,53,3,2942
12610106,1972,4001125,1,1,62,0,0,53,3,6144
12610106,1972,4001125,1,1,62,0,0,53,3,8487
9641655,1929,4000030,2,1,62,0,0,94,4,2500
9641655,1929,4000030,2,1,62,0,0,94,4,1288
9718994,1983,4001464,1,1,84,0,0,76,3,3000
9718994,1983,4001464,1,1,84,0,0,76,3,4415
9718994,1983,4001464,1,1,84,0,0,76,3,6005
9718994,1983,4001464,1,1,84,0,0,76,3,9434
9718994,1983,4001464,1,1,84,0,0,76,3,3274
9789163,1924,4000040,1,1,52,1,0,80,5,1000
9789163,1924,4000040,1,1,52,1,0,80,5,8267
9675399,1907,4022823,2,1,40,0,0,75,4,1000
9675399,1907,4022823,2,1,40,0,0,75,4,1180
9675399,1907,4022823,2,1,40,0,0,75,4,9434
9675519,1881,4022823,2,1,40,0,0,75,4,1000
9675519,1881,4022823,2,1,40,0,0,75,4,1180
9675519,1881,4022823,2,1,40,0,0,75,4,9434
9655542,1950,4000040,1,1,52,1,0,80,5,1000
9655542,1950,4000040,1,1,52,1,0,80,5,8267
9789276,1934,4000040,1,1,52,1,0,80,5,1000
9789276,1934,4000040,1,1,52,1,0,80,5,8267
9723051,1881,4022823,2,1,40,0,0,75,4,1000
9723051,1881,4022823,2,1,40,0,0,75,4,1180
9723051,1881,4022823,2,1,40,0,0,75,4,9434
9724062,1827,4022826,1,1,10,0,0,22,3,8000
9799127,1946,4023399,1,1,32,0,0,44,3,8000
9715795,1911,4022823,2,1,40,0,0,75,4,1000
9715795,1911,4022823,2,1,40,0,0,75,4,1180
9715795,1911,4022823,2,1,40,0,0,75,4,9434
9684074,1995,4021179,1,2,33,0,0,43,3,6215
9684074,1995,4021179,1,2,33,0,0,43,3,4400
9789524,1948,4000040,1,1,52,1,0,80,5,1000
9789524,1948,4000040,1,1,52,1,0,80,5,8267
9789302,1937,4000040,1,1,52,1,0,80,5,1000
9789302,1937,4000040,1,1,52,1,0,80,5,8267
9734132,1931,4000066,1,1,62,0,0,82,4,6000
9773611,1910,4000030,2,1,62,0,0,94,4,2500
9773611,1910,4000030,2,1,62,0,0,94,4,1288
9839286,1900,4022823,2,1,40,0,0,75,4,1000
9839286,1900,4022823,2,1,40,0,0,75,4,1180
9839286,1900,4022823,2,1,40,0,0,75,4,9434
9882244,1969,4005565,1,1,8,0,0,42,3,9500
9882244,1969,4005565,1,1,8,0,0,42,3,4347
9882244,1969,4005565,1,1,8,0,0,42,3,9630
9773099,0,4000030,2,1,62,0,0,94,4,2500
9773099,0,4000030,2,1,62,0,0,94,4,1288
9884349,1900,4022919,1,1,21,0,0,27,3,4500
9884349,1900,4022919,1,1,21,0,0,27,3,8712
9789460,1944,4000040,1,1,52,1,0,80,5,1000
9789460,1944,4000040,1,1,52,1,0,80,5,8267
11444524,1991,4021179,1,2,33,0,0,43,3,6215
11444524,1991,4021179,1,2,33,0,0,43,3,4400
9884913,1810,4023196,1,1,5,0,0,15,3,8314
9884913,1810,4023196,1,1,5,0,0,15,3,8000
